Name,BFM,BFB,Decision_Module,Actual_Class
00d430877eed07d10c1e730926dcca9f82f282af.apk,Malware,Malware,Malware,Malware
08061663E638B5AC1D780CAACBE9FAD8_1074178_370436__GlamorousSmoke.apk,Malware,Malware,Malware,Malware
0A2C68C40453625EB2676023B97894E621C4AF23.apk,Malware,Malware,Malware,Malware
0a3ec1fd0256736aeff449a2c9b7b656a6862eaf.apk,Malware,Malware,Malware,Malware
0e8236ddb163e7f3816cfef38b92c6e064887b3f.apk,Malware,Malware,Malware,Malware
0ef158c897f91a58aa2a13d25cd3019bc19b9954.apk,Malware,Malware,Malware,Malware
100+-Photo-Backgrounds-Free_v1.0.1pakage.apk,Malware,Benign,Unclassified,Benign
1300-Maths-Formulas_v1.6pakage.apk,Malware,Benign,Unclassified,Benign
14EE027B4DF5C4031F6B78B3BAA5602AAEB34E5F.apk,Malware,Malware,Malware,Malware
153c94a6d464497b07f1ea3511b87206a3621efd.apk,Malware,Malware,Malware,Malware
15db22fd7d961f4d4bd96052024d353b3ff4bd135835d2644d94d74c925af3c4.apk,Benign,Malware,Unclassified,Malware
1CBB0919441AE19B3B9FCCD6D31E737036F74F90.apk,Malware,Malware,Malware,Malware
1F68ADDF38F63FE821B237BC7BAABB3D_IBanking_Chase.apk,Benign,Malware,Unclassified,Malware
1mg-Save-on-MedicineLabTests_v8.2.1pakage.apk,Benign,Malware,Unclassified,Benign
20EAA48D86129FEBDFEE80B0CCCD484FE589A2BF.apk,Malware,Malware,Malware,Malware
21501127972BFBD1C4A89EC39E0AA084.apk,Malware,Malware,Malware,Malware
232e08bda4856b56e06a45ac5c27350fb30ddf5c.apk,Malware,Malware,Malware,Malware
23988ABAD7C7B2ECDDA23AE7194B7A0D.apk,Malware,Malware,Malware,Malware
265D37013E1EA39B868515CCE157DFEB.apk,Malware,Malware,Malware,Malware
2C77AAB581983C33EEFA65D867F03E54D3105611.apk,Malware,Malware,Malware,Malware
2D66D7942148DE2D9F08EAB403921C89.apk,Malware,Malware,Malware,Malware
2GIS-directory--navigator_v4.1.6.1647pakage.apk,Benign,Malware,Unclassified,Benign
3841ABCEF2B1B37AA7E2D47C535CA80E.apk,Malware,Malware,Malware,Malware
3D-Launcher-for-Galaxy-J7_v2.0pakage.apk,Malware,Benign,Unclassified,Benign
4-Share-Apps---File-Transfer_v1.3.3.6pakage.apk,Benign,Benign,Benign,Benign
4A300481411AB1992467959491DF412C.apk,Benign,Malware,Unclassified,Malware
4a56c7abdc455c82e95753bdb1934285.apk,Benign,Malware,Unclassified,Malware
4d3a1a769255402be23ae5e6b3445d79b7b4b702.apk,Malware,Malware,Malware,Malware
4e80480daf4ab573121d839c2c74cc845945be38.apk,Malware,Malware,Malware,Malware
4G_-3G_-WiFi-Speed-Test_v1.3pakage.apk,Benign,Benign,Benign,Benign
4G-LTE-Network-Switcher_v1.4pakage.apk,Malware,Benign,Unclassified,Benign
500_2000-new-release-notes_v1.0pakage.apk,Benign,Benign,Benign,Benign
514152082315816E91049B3DA6F95EA376555445.apk,Malware,Malware,Malware,Malware
5359D2F33FB072609D589B054FBE9BF0BA14FBFD.apk,Malware,Malware,Malware,Malware
5A1FD697C3ECD3D050B3D88D8A8649A1.apk,Benign,Malware,Unclassified,Malware
5c325c70250cbd294fae4cb321b3d8d39f1c1cd3.apk,Malware,Malware,Malware,Malware
5DD722C5FCE53C8C26ADF522641E5FACFE976BC7.apk,Malware,Malware,Malware,Malware
5f0ba094e83ee321b331a3acd7252ae92b4d5734.apk,Malware,Malware,Malware,Malware
5fdcb3d86a949d73ddbf721640733917dc300d41.apk,Malware,Malware,Malware,Malware
62f6d3b57f0bcea6b9edebff7d67b4a1fb7ece7d.apk,Malware,Malware,Malware,Malware
65f66e7b862db8c23074da1c2fe697d594ca1cdc.apk,Malware,Malware,Malware,Malware
6a6176fc043b821b1ceb48425f2bce9c1f3a6cb8.apk,Malware,Malware,Malware,Malware
6c0b900a17faf11d9efc68951b2d04fdb180bfe8.apk,Malware,Malware,Malware,Malware
6c13a359586f9cab20f2bc9b4fd8294e61e6e852.apk,Malware,Malware,Malware,Malware
6d6b779ea0b3d31c9453db8268b1e85463fe4725.apk,Malware,Malware,Malware,Malware
6EB92667EBBBCB2C7DDF6230462222FD.apk,Malware,Malware,Malware,Malware
735B4E78B334F6B9EB19E700A4C30966.apk,Benign,Benign,Benign,Malware
7c50a08472732593558ee18fc48693052b205e45428d0163df7f5346dd4e8bf5.apk,Malware,Malware,Malware,Malware
8.1-Metro-Lock-Launcher_v1.8.9pakage.apk,Malware,Malware,Malware,Benign
835576FB19E60F6186F86706CF03AC45.apk,Malware,Malware,Malware,Malware
8b4b2d8e1f051b3789c3d8f320136f9ebe75ef5f73c0f524e9875601a4ba5a68.apk,Malware,Malware,Malware,Malware
8F7A41A921FC15F4FD47A33E476D7B3B_1074179_370437__SkullLighter.apk,Malware,Malware,Malware,Malware
93922EE5FBD149F31B0161DECA76DF77.apk,Malware,Malware,Malware,Malware
97C2D04AA0F3C3B446FC228C1DBC4837.apk,Malware,Malware,Malware,Malware
AajTak_v1.28pakage.apk,Benign,Malware,Unclassified,Benign
About-India_v5.26pakage.apk,Benign,Benign,Benign,Benign
Ace-Cleaner-(Boost--Optimize)_v1.1.8pakage.apk,Benign,Benign,Benign,Benign
Air-India_v2.0.16pakage.apk,Benign,Malware,Unclassified,Benign
All-Government-Job_v3.3pakage.apk,Benign,Malware,Unclassified,Benign
Amazing-Photo-Editor_v2.5pakage.apk,Benign,Malware,Unclassified,Benign
Anatomy-Learning---3D-Atlas_v1.0pakage.apk,Benign,Benign,Benign,Benign
Android.Hehe_1CAA31272DAABB43180E079BCA5E23C1.apk,Malware,Malware,Malware,Malware
AntiVirus-FREE-2016---Android_v5.9.0.1pakage.apk,Malware,Benign,Unclassified,Benign
Antivirus_v1.2.8pakage.apk,Malware,Benign,Unclassified,Benign
App-Lock-Advance_v4.1pakage.apk,Benign,Malware,Unclassified,Benign
appinventor.ai_T10D78.FIFA12-1-1.4.apk,Malware,Benign,Unclassified,Malware
appinventor.ai_T10D78.GlobalWarRiot-1-1.7.apk,Malware,Benign,Unclassified,Malware
appinventor.ai_T10D78.NinJumpDeluxe-1-1.3.apk,Malware,Benign,Unclassified,Malware
appinventor.ai_T10D78.WorldOfGoo-1-1.6.apk,Malware,Benign,Unclassified,Malware
AppLock-Theme-Dream-City_v1.0.0pakage.apk,Benign,Benign,Benign,Benign
Arati-Sangrah-with-Audio-Hindi_v1.0pakage.apk,Malware,Malware,Malware,Benign
Assamese-NewsPapers-Online_v1.0pakage.apk,Benign,Benign,Benign,Benign
ATM-Finder_v1.0.8pakage.apk,Benign,Benign,Benign,Benign
ATM-Mobile_v1.5.0pakage.apk,Benign,Malware,Unclassified,Benign
atticlab.bodyscanner.apk,Malware,Benign,Unclassified,Malware
Audio-MP3-Cutter-Mix-Converter_v1.32pakage.apk,Benign,Malware,Unclassified,Benign
Ayurvedic-Gharelu-Nuskhe_v1.0pakage.apk,Malware,Benign,Unclassified,Benign
b0440ca3b2ff93b45cff43b5582f7156-com.Puss.Boots.wallpapers_055038.apk,Benign,Benign,Benign,Malware
B2B7D5999DCE0559D13AB06D30C2C6EC.apk,Malware,Malware,Malware,Malware
b31ce7e8e63fb9eb78b8ac934ad5a2ec.apk,Benign,Malware,Unclassified,Malware
B612---Selfie-from-the-heart_v5.1.1pakage.apk,Benign,Malware,Unclassified,Benign
B8B434AB21D394DAA0A9A78A515BD517.apk,Benign,Malware,Unclassified,Malware
Baca---Temukan-Beritamu_v3.0.0.8pakage.apk,Benign,Malware,Unclassified,Benign
Bangalore-BMTC-Info_v18.0pakage.apk,Benign,Benign,Benign,Benign
Battery-Saver_v1.0pakage.apk,Benign,Malware,Unclassified,Benign
BBM_v3.1.0.13pakage.apk,Benign,Malware,Unclassified,Benign
Beautiful-Photo-Frame-Collage_v1.0pakage.apk,Malware,Benign,Unclassified,Benign
Bedroom-Photo-Frames_v2.0pakage.apk,Benign,Benign,Benign,Benign
BestMe-Selfie-Camera_v1.3.4pakage.apk,Benign,Benign,Benign,Benign
Bharat-Ke-Ayurvedic-Upchar_v1.1pakage.apk,Benign,Benign,Benign,Benign
Biochemistry-Normal-Values_v1.9pakage.apk,Malware,Benign,Unclassified,Benign
Blood-Group-Checker_v1.3pakage.apk,Benign,Benign,Benign,Benign
Blood-Pressure-Diary_v3.0.8pakage.apk,Malware,Malware,Malware,Benign
Bobble-Keyboard-with-Stickers_v4.5.1pakage.apk,Benign,Malware,Unclassified,Benign
Boys-Photo-Editor_v1.2pakage.apk,Benign,Malware,Unclassified,Benign
btm.apk,Malware,Malware,Malware,Malware
BykUp_v1.2.2pakage.apk,Benign,Malware,Unclassified,Benign
B\xc3\x81O-M\xe1\xbb\x9aI---\xc4\x90\xe1\xbb\x8dc-B\xc3\xa1o_-Tin-T\xe1\xbb\xa9c-24h_v3.1.0pakage.apk,Benign,Malware,Unclassified,Benign
C3C3D3F3636005CC2D4E2D258BAF9C1EF63F23A4.apk,Malware,Malware,Malware,Malware
c5e496f351b3ce8c7368d6513d320c4e-com.swampy.Water_151212.apk,Malware,Benign,Unclassified,Malware
C74F2AEF00C80CABEE05631886705CCDAEB935DE.apk,Malware,Malware,Malware,Malware
c85d37585dbe2ad77572d9a27165ed63c9c8685e.apk,Malware,Malware,Malware,Malware
caa04deff90081fd4b0b441b9bf16edeb05f52ee.apk,Malware,Malware,Malware,Malware
Cajino_5F385407A0E547F809AC4BE8B1119B04.apk,Benign,Malware,Unclassified,Malware
Cajino_B3814CA9E42681B32DAFE4A52E5BDA7A.apk,Malware,Malware,Malware,Malware
Call-Recorder_v6.3pakage.apk,Benign,Malware,Unclassified,Benign
Caller-ID--Block-by-CallApp_v1.182pakage.apk,Benign,Malware,Unclassified,Benign
Caller-Name-Speaker_v1.0pakage.apk,Benign,Malware,Unclassified,Benign
CAMARAD---Speed-Radar-Alert_v1.1.1pakage.apk,Benign,Malware,Unclassified,Benign
Camera-Magic_v3.3pakage.apk,Malware,Benign,Unclassified,Benign
Car-Key-Simulator-FREE_v1.4.0pakage.apk,Benign,Malware,Unclassified,Benign
CCC01FD6D875B95E2AF5F270AAF8E842.576B9B86.apk,Benign,Malware,Unclassified,Malware
Central-Government-Jobs_v2.0pakage.apk,Benign,Benign,Benign,Benign
CFA92CBCB0674429CC9CE216CC008902.apk,Malware,Malware,Malware,Malware
Chennai-Local-Train-Timetable_v2.4pakage.apk,Benign,Malware,Unclassified,Benign
Citymapper_v6.14pakage.apk,Benign,Benign,Benign,Benign
CLauncher---Custom-Launcher_v2.9.2pakage.apk,Benign,Benign,Benign,Benign
CM-Locker-Repair-Privacy-Risks_v4.4.2pakage.apk,Benign,Malware,Unclassified,Benign
Collage-Maker-2016_v1.4pakage.apk,Benign,Benign,Benign,Benign
Colorful-Bubble-Theme_v1.0.0pakage.apk,Benign,Benign,Benign,Benign
com.alioth.imdevil_jp.DevilsCreed.full_1.8_installer.apk,Benign,Malware,Unclassified,Malware
com.android.googledalvik.apk,Benign,Malware,Unclassified,Malware
com.android.googlekernel.apk,Malware,Benign,Unclassified,Malware
com.android.service.apk_mouabad_p_infected.apk,Benign,Malware,Unclassified,Malware
com.anglefish.livewallpaper.hotchick1.apk,Malware,Benign,Unclassified,Malware
com.appspot.swisscodemonkeys.paintfx.apk,Malware,Benign,Unclassified,Malware
com.biggu.shopsavvy.apk,Malware,Benign,Unclassified,Malware
com.christmasgame.deal.apk,Malware,Malware,Malware,Malware
com.cn.smsclient-8.apk,Benign,Benign,Benign,Malware
com.fdhgkjhrtjkjbx.model.apk,Benign,Malware,Unclassified,Malware
com.gau.go.launcherex.apk,Malware,Benign,Unclassified,Malware
com.google.android.apps.maps.apk,Malware,Benign,Unclassified,Malware
com.google.android.apps.translate.apk,Malware,Benign,Unclassified,Malware
com.google.android.stardroid.apk,Malware,Benign,Unclassified,Malware
com.google.earth.apk,Malware,Benign,Unclassified,Malware
com.keloidscaretissue.puzzle2048.apk,Malware,Benign,Unclassified,Malware
com.keloidscaretissue.Quxicompass.apk,Malware,Benign,Unclassified,Malware
com.movieshow.down.apk,Malware,Benign,Unclassified,Malware
com.opera.mini.android.apk,Malware,Benign,Unclassified,Malware
com.outfit7.talkinggina.apk,Malware,Benign,Unclassified,Malware
com.outfit7.talkingtom.apk,Malware,Benign,Unclassified,Malware
com.parental.control.v4-dexguarded.apk,Malware,Malware,Malware,Malware
com.redmicapps.puzzles.ladies2.apk,Malware,Malware,Malware,Malware
com.redmicapps.puzzles.ladies3_v1.02.apk,Malware,Malware,Malware,Malware
com.sancronringtones.funnysmssb.apk,Malware,Benign,Unclassified,Malware
com.skype.raider.apk,Malware,Benign,Unclassified,Malware
com.stephbriggs5.batteryimprove-2.apk,Malware,Malware,Malware,Malware
com.studio.proxy.apk,Benign,Malware,Unclassified,Malware
com.stylem.wallpapers.apk,Malware,Benign,Unclassified,Malware
com.teamviewer.teamviewer.market.mobile.apk,Malware,Benign,Unclassified,Malware
com.ventel.android.radardroid2.apk,Malware,Malware,Malware,Malware
com.viber.voip.apk,Malware,Benign,Unclassified,Malware
com.vlingo.client.apk,Malware,Benign,Unclassified,Malware
com.whatsapp.wallpaper.apk,Malware,Benign,Unclassified,Malware
Computer-Basics_v1.2pakage.apk,Benign,Benign,Benign,Benign
Contacts_-calls_-addresses_v3.03.02pakage.apk,Benign,Malware,Unclassified,Benign
Couple-In-Love-Photo-Blender_v1.0pakage.apk,Benign,Benign,Benign,Benign
Couple-Photo-Pattern-Locker_v1.0pakage.apk,Benign,Malware,Unclassified,Benign
Couple-Photo-Zipper-LockScreen_v2.1pakage.apk,Benign,Malware,Unclassified,Benign
Cric-Buzz-Nepal_v1.1.1pakage.apk,Benign,Benign,Benign,Benign
Cricket-Times-News--Articles_v1.7pakage.apk,Benign,Benign,Benign,Benign
Cut-Copy-Paste-Photo-Editor_v1.0pakage.apk,Malware,Benign,Unclassified,Benign
Daily-Hindi-News-Hunt-India_v1.2pakage.apk,Benign,Benign,Benign,Benign
Dainik-Bhaskar_v100pakage.apk,Benign,Benign,Benign,Benign
Danvanthiri---Healthcare-App_v1.8pakage.apk,Malware,Malware,Malware,Benign
DB-Navigator_v16.08.p07.00pakage.apk,Benign,Malware,Unclassified,Benign
de.spiegel.android.app.spon.apk,Malware,Benign,Unclassified,Malware
de.web.mobile.android.mail.apk,Malware,Benign,Unclassified,Malware
Delhi-Metro_v1.0pakage.apk,Benign,Malware,Unclassified,Benign
DF53B59E354462CD0E704B7B21A750F7.apk,Malware,Malware,Malware,Malware
Diagnose-App-f\xc3\xbcr-Patienten_v1.4pakage.apk,Benign,Malware,Unclassified,Benign
Dictionary---Merriam-Webster_v3.3.0pakage.apk,Benign,Benign,Benign,Benign
DISHDTH-TV-UNIVERSAL-REMOTE_v4.0pakage.apk,Benign,Malware,Unclassified,Benign
Dj-Mix-Drum-Pad-Electro_v1.0pakage.apk,Benign,Benign,Benign,Benign
DJ-Music-Pad_v1.0.1pakage.apk,Malware,Benign,Unclassified,Benign
DJ-Remix-Studio_v1.2pakage.apk,Malware,Benign,Unclassified,Benign
DotNews---Breaking-NewsTrends_v1.1.11.1111pakage.apk,Benign,Malware,Unclassified,Benign
Dr-Lal-PathLabs_v1.7pakage.apk,Benign,Malware,Unclassified,Benign
driving-directions_v2.0.6pakage.apk,Benign,Benign,Benign,Benign
Drugs-Dictionary-Offline-FREE_v1.9pakage.apk,Malware,Benign,Unclassified,Benign
Drugs-Dictionary_v1.1pakage.apk,Malware,Benign,Unclassified,Benign
Dual-Photo-Pattern-Lock-Screen_v1.1.5pakage.apk,Benign,Benign,Benign,Benign
E1D79608B649C22004AD7CC1CD049528.apk,Malware,Malware,Malware,Malware
Easy---taxi_-car_-ridesharing_v10.4.3.54pakage.apk,Benign,Malware,Unclassified,Benign
Electrocardiogram-ECG-Types_v6.0pakage.apk,Malware,Benign,Unclassified,Benign
Emergencias-moteras_v8.0.0pakage.apk,Benign,Malware,Unclassified,Benign
English-Malayalam-Dictionary_v9pakage.apk,Malware,Benign,Unclassified,Benign
English-to-Bangla-Dictionary_v9.0pakage.apk,Malware,Benign,Unclassified,Benign
English-to-Hindi-Dictionary_vVaries+with+devicepakage.apk,Benign,Benign,Benign,Benign
English-Urdu-Dictionary_veclairpakage.apk,Benign,Benign,Benign,Benign
EQ--Bass-Booster-Music-Player_v1.2.8pakage.apk,Benign,Malware,Unclassified,Benign
Equalizer-Music-Player_v2.7.0pakage.apk,Benign,Malware,Unclassified,Benign
Express-News_v10.1pakage.apk,Benign,Malware,Unclassified,Benign
F05839EB7156B434A893BBEDDB68AD85.apk,Malware,Malware,Malware,Malware
f60e6b977a4de0ec194c77cb12ef1101.apk,Benign,Malware,Unclassified,Malware
Face-Changer-Photo-Booth_v1.4.2pakage.apk,Malware,Benign,Unclassified,Benign
Fake-GPSv4.0.2pakage.apk,Benign,Malware,Unclassified,Benign
Fake-Windows-10-Desktop_v0.1.3pakage.apk,Malware,Benign,Unclassified,Benign
FakeApp.AL_acb66e858d54c61aa10e60276001c02b _com.xcraft.mods.apk,Malware,Benign,Unclassified,Malware
fakeAV_36B177910C99872B33E90DEA71B16617_LabelReader.apk,Malware,Malware,Malware,Malware
fakeAV_934527F8EBB5C1088009CC9329DC3DE6_LabelReader.apk,Malware,Malware,Malware,Malware
Fakedaum_0B6CDC9B9F778E0D8171DD279C5F690B.apk,Benign,Malware,Unclassified,Malware
Fakedefender_E790C4295B8ADB23D090BAE5D6EB786A.apk,Benign,Benign,Benign,Malware
Fakemart_.D002F0581A862373AA6C6C0070EC3156.apk,Malware,Benign,Unclassified,Malware
Faketaobao_45DAE1EE4CA1980C140CB5C9DA2A7ED5.apk,Benign,Malware,Unclassified,Malware
Family-Locator---Phone-Tracker_v4.991pakage.apk,Benign,Malware,Unclassified,Benign
Fastest-Clean_v1.21pakage.apk,Malware,Benign,Unclassified,Benign
FBDDE37D41D12F21C049C570C9BDA3DE.apk,Malware,Malware,Malware,Malware
FFE98D97E7D827AA19ABB968A528F3FE.apk,Malware,Malware,Malware,Malware
Find-My-Lost-Phone-pro-Family_v1.0.6pakage.apk,Benign,Malware,Unclassified,Benign
Fingerprint-PassCode-App-Lock_v3.66pakage.apk,Benign,Malware,Unclassified,Benign
Fireflies-lockscreen_v2.5.3pakage.apk,Benign,Malware,Unclassified,Benign
First-Aid-Bangla_v0.0.1pakage.apk,Benign,Benign,Benign,Benign
Flash-Light-on-Clap_v2.12pakage.apk,Benign,Benign,Benign,Benign
Flashlight-on-Voice_v1.5pakage.apk,Benign,Benign,Benign,Benign
Font-Changer_v1.5pakage.apk,Benign,Malware,Unclassified,Benign
Fonts-for-FlipFont-50-6_v3.14.1pakage.apk,Malware,Benign,Unclassified,Benign
Free-Dual-GbWhatsapp-Guide_v1.0.0pakage.apk,Malware,Benign,Unclassified,Benign
Free-PicsArt-Filter-photo-Tip_v1.0pakage.apk,Benign,Malware,Unclassified,Benign
Free-WiFi-Connect_v1.2pakage.apk,Benign,Benign,Benign,Benign
Free-WiFi-Map-Cracow_v1.45pakage.apk,Benign,Malware,Unclassified,Benign
Friend-Locator--Phone-Tracker_v2.63pakage.apk,Benign,Malware,Unclassified,Benign
Fuel-Buddy---Car-Mileage-Log_v11.1pakage.apk,Benign,Malware,Unclassified,Benign
Fuel-Calculator_v4.10pakage.apk,Malware,Benign,Unclassified,Benign
Full-HD-DLSR-Camera_v1.12pakage.apk,Benign,Malware,Unclassified,Benign
Full-Screen-Incoming-Call_v1.4pakage.apk,Benign,Malware,Unclassified,Benign
Funny-Photo-Frame_v0.0.2pakage.apk,Benign,Malware,Unclassified,Benign
Gallery_v1.0.0pakage.apk,Malware,Malware,Malware,Benign
Garden-photo-frames_v1.4pakage.apk,Benign,Benign,Benign,Benign
GBWhatsApp+_v1.1.1pakage.apk,Malware,Benign,Unclassified,Benign
Get-guide-jio-sim_v1.0pakage.apk,Malware,Malware,Malware,Benign
Ghana-News-Yen.com.gh_v2.1.3pakage.apk,Benign,Benign,Benign,Benign
girls-phone-numbers_v1.0pakage.apk,Malware,Benign,Unclassified,Benign
Gmail_v6.10.23.137993986.releasepakage.apk,Benign,Malware,Unclassified,Benign
gMapsSpeed-(beta)_v0.5+betapakage.apk,Benign,Malware,Unclassified,Benign
GO-Launcher-Theme-green-smoke_v2.8pakage.apk,Benign,Benign,Benign,Benign
GO-Security_-Antivirus-AppLock_v1.19.1pakage.apk,Benign,Malware,Unclassified,Benign
Godless_74A55E9EA67D5BAF90C1AD231E02F6183195E564.apk,Benign,Malware,Unclassified,Malware
Godless_7809E1B6F85EE0FA7F0C2A3F1BFDC7FA668742BB.apk,Benign,Malware,Unclassified,Malware
Godless_A3E84C4B770EF7626E71C9388A4741804DC32C15.apk,Malware,Benign,Unclassified,Malware
Google-Play-Newsstand_v4.0.0pakage.apk,Benign,Benign,Benign,Benign
Google-Street-View_v2.0.0.137864541pakage.apk,Benign,Malware,Unclassified,Benign
GPS-Essentials_v4.4.16pakage.apk,Benign,Malware,Unclassified,Benign
GPS-Map_v27.0.7pakage.apk,Benign,Malware,Unclassified,Benign
GPS-Photo-Viewer-use-GoogleMap_v1.2.8pakage.apk,Benign,Benign,Benign,Benign
GPS-Status--Toolbox_v7.3.155pakage.apk,Benign,Benign,Benign,Benign
GTA-San-Andreas-Cheats_v1.1pakage.apk,Benign,Benign,Benign,Benign
Guide-For-PicsArt_v2.0pakage.apk,Benign,Benign,Benign,Benign
Gujarati-News-NavGujarat-Samay_v3.0.4pakage.apk,Malware,Benign,Unclassified,Benign
Hajj-Maps_v2.020pakage.apk,Benign,Malware,Unclassified,Benign
HtcLoggers.apk,Benign,Malware,Unclassified,Malware
il.co.egv-3.apk,Benign,Malware,Unclassified,Malware
net.zedge.android.apk,Malware,Benign,Unclassified,Malware
Phospy_5F23671F67F0FBFC2529919DB56485A0.apk,Malware,Malware,Malware,Malware
SuiConFo.apk,Benign,Malware,Unclassified,Malware
Usbcleaver_C22C068EAEE7AD7FD4FD015CD50045DB.apk,Malware,Benign,Unclassified,Malware
vertu.jp.apk,Benign,Benign,Benign,Malware
vertu.kr.apk,Benign,Benign,Benign,Malware
vksafe.apk,Malware,Malware,Malware,Malware
waterfall3dLive.boa.liveWPcube.apk,Benign,Benign,Benign,Malware
Whats_app.apk,Malware,Malware,Malware,Malware
wrehifsdkjs.apk_9701d4cfb7d61e43028c10adf70d4efd.apk,Malware,Malware,Malware,Malware
Zertsecurity_1CF41BDC0FDD409774EB755031A6F49D.apk,Benign,Benign,Benign,Malware
zitmo.apk,Benign,Malware,Unclassified,Malware